collection,token_name,token_address,token_id,sale_timestamp,sale_amount,sale_token,sale_hash,payout_timestamp,payout_amount,payout_token,payout_hash,sale_div_payment,fee
known-origin,Mika for Teleportation,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2474009,2021-10-01 18:14:24,0.0225,ETH,0x4b7c9d9b526b697d6fb400f2f0d14bff14ae7a978611a5f9e570ce10bb055d11,2021-10-06 10:29:57.964130,0.0028125,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Discovery,0xfbeef911dc5821886e1dda71586d90ed28174b7d,513210,2021-10-01 18:21:10,0.095,ETH,0x5e7c12c936b09f9bd0f9bd7694dacdf867b7dba12f130b68e4cf237e5c63bb71,2021-10-06 10:29:57.964130,0.002375,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.025,250
known-origin,Taxmen,0xfbeef911dc5821886e1dda71586d90ed28174b7d,54212,2021-10-01 23:54:26,32.0,ETH,0xe226a228369b3f689e11bd0086c3cc9c39b67796fc43445fd1ea786de5c0f5cb,2021-10-06 10:29:57.964130,4.0,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Idea Birdie,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1048008,2021-10-02 09:06:56,0.0225,ETH,0x5841bb564efcaa6b8cd9ebf445083e54c5d014d09ee695efe8d23edce61ef618,2021-10-06 10:29:57.964130,0.0028125,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Solace,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1110009,2021-10-02 19:11:48,0.0225,ETH,0xba7e4f1f722ee2bab7d0eb43e701b753c1b1971e8ab781c5259dc8c29349314d,2021-10-06 10:29:57.964130,0.0028125,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Butterfly Effect,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1086003,2021-10-02 21:13:56,0.15,ETH,0x2de4499006a6baeebd7cf013eb25ec6d11c977b1a80c6dfe3f5f67c6f4a8b0e2,2021-10-06 10:29:57.964130,0.01875,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,crayon halo 1.1,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,1541001,2021-10-03 04:22:41,0.5,ETH,0xf52184603e16075817962eae0c24bcec5e9b01fc80e14f58d3bb7266a1b826e9,2021-10-06 10:29:57.964130,0.0625,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Mika for Teleportation,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,2474006,2021-10-03 08:42:50,0.0225,ETH,0xbaf024075b970f5f53ebeb02ae1ce59523892539d42e4f14d2c5a79cf7deedb2,2021-10-06 10:29:57.964130,0.0028125,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,The Cash Tape,0xfbeef911dc5821886e1dda71586d90ed28174b7d,52620,2021-10-03 14:14:05,0.067,ETH,0x261c1a3ef3e0e466743f6eaf029b60c45cd0e78eb4ddc8da2b55b3b2f181ac21,2021-10-06 10:29:57.964130,0.008375,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,GANOODLE / 103-62,0xfbeef911dc5821886e1dda71586d90ed28174b7d,146653,2021-10-03 20:03:40,0.75,ETH,0xe4e5fb873230819038c095da5aa8075763ca8820d3353667091de7d32d2244cc,2021-10-06 10:29:57.964130,0.09375,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Glitch 0UW22,0xfbeef911dc5821886e1dda71586d90ed28174b7d,90843,2021-10-03 20:03:40,0.88,ETH,0x1e99e272b8c17e00809056dcf100ea818d37ed829cc3bcd49a14a9ec9a02e109,2021-10-06 10:29:57.964130,0.11,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
known-origin,Best-case Scenario,0xfbeef911dc5821886e1dda71586d90ed28174b7d,108063,2021-10-04 13:00:22,26.0,ETH,0x5e497f81b835e9e1af9ead778e00657dda2e4abeb05c4c0db91b539829fbf420,2021-10-06 10:29:57.964130,3.25,ETH,0x3509711b90afa98aa163c21b6c8b28d1f49a773ef34c0a68b5bd87ce0af46372,0.125,1250
